Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Repaired?,Final?,FetchDate,Ticker
2026-02-25 03:00:00,39.9399986267,39.9700012207,39.0299987793,39.5699996948,26012300,0.0,0,False,True,1774560919183,PETR4.SA
2026-02-26 03:00:00,39.2999992371,39.7999992371,38.9700012207,39.6100006104,29919100,0.0,0,False,True,1774560919183,PETR4.SA
2026-02-27 03:00:00,39.9199981689,40.2700004578,39.3300018311,39.3300018311,38799000,0.0,0,False,True,1774560919183,PETR4.SA
2026-03-02 03:00:00,41.2999992371,41.5299987793,40.5200004578,41.1300010681,83817000,0.0,0,False,True,1774560919183,PETR4.SA
2026-03-03 03:00:00,41.7000007629,42.0,40.75,40.9500007629,93893800,0.0,0,False,True,1774560919183,PETR4.SA
2026-03-04 03:00:00,40.9500007629,41.1699981689,39.9300003052,40.5,50915600,0.0,0,False,True,1774560919183,PETR4.SA
2026-03-05 03:00:00,40.5299987793,40.7700004578,39.9799995422,40.6899986267,53107600,0.0,0,False,True,1774560919183,PETR4.SA
2026-03-06 03:00:00,41.9000015259,43.1199989319,41.4199981689,42.1599998474,87228000,0.0,0,False,True,1774560919183,PETR4.SA
2026-03-09 03:00:00,43.25,44.2700004578,42.6699981689,43.1599998474,107124400,0.0,0,False,True,1774560919183,PETR4.SA
2026-03-10 03:00:00,42.3100013733,43.0999984741,42.0299987793,42.9300003052,56706200,0.0,0,False,True,1774560919183,PETR4.SA
2026-03-11 03:00:00,43.25,44.8800010681,43.2299995422,44.7999992371,73234300,0.0,0,False,True,1774560919183,PETR4.SA
2026-03-12 03:00:00,45.3899993896,46.0900001526,44.2000007629,45.0,86124400,0.0,0,False,True,1774560919183,PETR4.SA
2026-03-13 03:00:00,44.6100006104,45.3400001526,44.2900009155,44.6699981689,42520400,0.0,0,False,True,1774560919183,PETR4.SA
2026-03-16 03:00:00,44.8800010681,45.9900016785,44.7999992371,45.8600006104,40474100,0.0,0,False,True,1774560919183,PETR4.SA
2026-03-17 03:00:00,45.8499984741,47.2599983215,45.7999992371,46.3800010681,51025600,0.0,0,False,True,1774560919183,PETR4.SA
2026-03-18 03:00:00,46.7000007629,47.1500015259,46.5499992371,47.0,55074700,0.0,0,False,True,1774560919183,PETR4.SA
2026-03-19 03:00:00,47.2000007629,48.1300010681,46.6899986267,46.7799987793,84865000,0.0,0,False,True,1774560919183,PETR4.SA
2026-03-20 03:00:00,46.7900009155,47.25,44.9199981689,45.6699981689,78125700,0.0,0,False,True,1774560919183,PETR4.SA
2026-03-23 03:00:00,44.4199981689,46.1800003052,44.3199996948,46.0299987793,65252400,0.0,0,False,True,1774560919183,PETR4.SA
2026-03-24 03:00:00,46.4000015259,47.9500007629,46.3699989319,47.2700004578,57455300,0.0,0,False,True,1774560919183,PETR4.SA
2026-03-25 03:00:00,46.5,47.5499992371,46.2999992371,47.5,40532900,0.0,0,False,False,1774560919183,PETR4.SA
2026-03-26 03:00:00,47.5999984741,48.4700012207,47.5200004578,48.0200004578,59825200,0.0,0,False,False,1774560894269,PETR4.SA
2026-02-25 03:00:00,89.0299987793,90.3300018311,88.5100021362,89.9700012207,28707500,0.0,0,False,True,1774560922184,VALE3.SA
2026-02-26 03:00:00,88.9400024414,89.3799972534,87.0400009155,89.2099990845,24503100,0.0,0,False,True,1774560922184,VALE3.SA
2026-02-27 03:00:00,89.1399993896,89.5,88.2600021362,88.4700012207,17328300,0.0,0,False,True,1774560922184,VALE3.SA
2026-03-02 03:00:00,87.9199981689,89.1600036621,87.2900009155,88.1600036621,13952600,0.0,0,False,True,1774560922184,VALE3.SA
